Ah,SOC,V,A,Wh,time
0.000078,100.00%,3.362477,28.01636,0.000262,0
0.0778,99.97%,3.352542,28.00758,0.26114,10
0.1556,99.95%,3.346358,28.00848,0.52172,20
0.233402,99.92%,3.341332,28.00848,0.78187,30
0.311204,99.89%,3.337139,28.00807,1.041662,40
0.389004,99.86%,3.333556,28.00888,1.301149,50
0.466805,99.84%,3.330437,28.00742,1.560378,60
0.544605,99.81%,3.327739,28.009,1.819379,70
0.622405,99.78%,3.325333,28.00819,2.078181,80
0.700206,99.75%,3.323224,28.00947,2.336811,90
0.778006,99.73%,3.321314,28.00778,2.595284,100
0.855808,99.70%,3.319649,28.0076,2.853622,110
0.93361,99.67%,3.318115,28.00753,3.111835,120
1.01141,99.64%,3.316757,28.00782,3.369935,130
1.089212,99.62%,3.315561,28.00824,3.627936,140
1.167012,99.59%,3.314447,28.00806,3.885845,150
1.244813,99.56%,3.313426,28.00766,4.143673,160
1.322615,99.53%,3.312533,28.01006,4.401427,170
1.400417,99.51%,3.311718,28.01065,4.659116,180
1.478219,99.48%,3.310982,28.00871,4.916745,190
1.556022,99.45%,3.310329,28.00701,5.174322,200
1.633824,99.42%,3.309771,28.01029,5.43185,210
1.711626,99.40%,3.309251,28.00842,5.689335,220
1.789427,99.37%,3.308784,28.00684,5.946779,230
1.867227,99.34%,3.308366,28.00772,6.204189,240
1.945029,99.31%,3.308025,28.00695,6.46157,250
2.02283,99.29%,3.307687,28.00854,6.718925,260
2.100631,99.26%,3.307424,28.009,6.976255,270
2.178431,99.23%,3.307197,28.00766,7.233566,280
2.256232,99.20%,3.307002,28.00742,7.49086,290
2.334033,99.18%,3.306824,28.00906,7.748142,300
2.411834,99.15%,3.306688,28.0107,8.005411,310
2.489635,99.12%,3.30658,28.00696,8.26267,320
2.567435,99.09%,3.306457,28.00795,8.519917,330
2.645236,99.07%,3.306391,28.00854,8.777162,340
2.723037,99.04%,3.306321,28.00638,9.0344,350
2.800839,99.01%,3.306291,28.00761,9.291635,360
2.87864,98.98%,3.306238,28.00825,9.548865,370
2.956442,98.96%,3.306221,28.008,9.806094,380
3.034243,98.93%,3.306206,28.00754,10.06332,390
3.112044,98.90%,3.306173,28.00901,10.32055,400
3.189845,98.87%,3.306172,28.00883,10.57777,410
3.267646,98.85%,3.306168,28.00877,10.83499,420
3.345446,98.82%,3.306183,28.00789,11.09221,430
3.423246,98.79%,3.30619,28.00766,11.34944,440
3.501046,98.76%,3.306211,28.00907,11.60666,450
3.578846,98.74%,3.306241,28.00777,11.86388,460
3.656646,98.71%,3.306287,28.0079,12.12111,470
3.734446,98.68%,3.306264,28.00894,12.37834,480
3.812247,98.65%,3.306272,28.00888,12.63557,490
3.890047,98.63%,3.306293,28.009,12.8928,500
3.967848,98.60%,3.306315,28.00906,13.15003,510
4.045649,98.57%,3.306359,28.00825,13.40726,520
4.123449,98.54%,3.306361,28.00907,13.6645,530
4.20125,98.52%,3.30641,28.00718,13.92174,540
4.279051,98.49%,3.306459,28.00883,14.17898,550
4.356852,98.46%,3.306465,28.00877,14.43623,560
4.434653,98.43%,3.306499,28.00813,14.69348,570
4.512454,98.41%,3.306529,28.00788,14.95073,580
4.590255,98.38%,3.306559,28.00849,15.20798,590
4.668056,98.35%,3.306595,28.00807,15.46523,600
4.745856,98.32%,3.306595,28.00924,15.72249,610
4.823658,98.30%,3.306639,28.00683,15.97975,620
4.901459,98.27%,3.306656,28.00883,16.23701,630
4.97926,98.24%,3.306686,28.00748,16.49427,640
5.057061,98.21%,3.306718,28.00854,16.75154,650
5.134863,98.19%,3.306735,28.00977,17.00881,660
5.212665,98.16%,3.306775,28.00883,17.26608,670
5.290466,98.13%,3.306803,28.00971,17.52335,680
5.368268,98.10%,3.306841,28.0093,17.78063,690
5.446069,98.08%,3.306866,28.00899,18.03791,700
5.523871,98.05%,3.306909,28.00813,18.29519,710
5.601673,98.02%,3.306934,28.0083,18.55247,720
5.679475,97.99%,3.306964,28.00883,18.80976,730
5.757277,97.97%,3.306989,28.00737,19.06705,740
5.835079,97.94%,3.307021,28.00888,19.32434,750
5.91288,97.91%,3.307051,28.00988,19.58163,760
5.990683,97.88%,3.307066,28.00896,19.83893,770
6.068484,97.86%,3.307097,28.01006,20.09623,780
6.146286,97.83%,3.307123,28.00801,20.35353,790
6.224088,97.80%,3.307129,28.00789,20.61083,800
6.30189,97.77%,3.307178,28.01031,20.86813,810
6.379693,97.75%,3.30718,28.00942,21.12544,820
6.457495,97.72%,3.307214,28.00895,21.38274,830
6.535297,97.69%,3.307246,28.00947,21.64005,840
6.6131,97.66%,3.307261,28.00877,21.89737,850
6.690902,97.64%,3.307287,28.00871,22.15468,860
6.768704,97.61%,3.307308,28.00878,22.412,870
6.846506,97.58%,3.307346,28.00701,22.66931,880
6.924307,97.55%,3.307365,28.00765,22.92663,890
7.002109,97.53%,3.307354,28.00846,23.18395,900
7.079911,97.50%,3.307399,28.00924,23.44127,910
7.157713,97.47%,3.30742,28.00947,23.69859,920
7.235515,97.44%,3.307456,28.00766,23.95592,930
7.313317,97.42%,3.30745,28.00919,24.21324,940
7.391119,97.39%,3.307484,28.0083,24.47057,950
7.46892,97.36%,3.307488,28.01012,24.7279,960
7.546723,97.33%,3.307524,28.00948,24.98523,970
7.624524,97.31%,3.307564,28.00923,25.24256,980
7.702326,97.28%,3.307575,28.00959,25.4999,990
7.780128,97.25%,3.307583,28.0093,25.75723,1000
7.857929,97.22%,3.307592,28.00935,26.01457,1010
7.935732,97.20%,3.307609,28.0103,26.27191,1020
8.013535,97.17%,3.30763,28.00854,26.52925,1030
8.091336,97.14%,3.307653,28.00829,26.78659,1040
8.169138,97.11%,3.307668,28.00912,27.04393,1050
8.246941,97.09%,3.307692,28.00824,27.30128,1060
8.324741,97.06%,3.307689,28.00924,27.55862,1070
8.402544,97.03%,3.307726,28.00872,27.81597,1080
8.480346,97.00%,3.307736,28.00784,28.07331,1090
8.558147,96.98%,3.307757,28.00813,28.33066,1100
8.635949,96.95%,3.307776,28.0094,28.58801,1110
8.713751,96.92%,3.307772,28.00778,28.84536,1120
8.791553,96.89%,3.307781,28.00899,29.10271,1130
8.869353,96.87%,3.307821,28.00661,29.36006,1140
8.947154,96.84%,3.307821,28.00766,29.61741,1150
9.024956,96.81%,3.307834,28.01067,29.87477,1160
9.102757,96.78%,3.307851,28.009,30.13213,1170
9.180559,96.76%,3.307872,28.00749,30.38948,1180
9.258361,96.73%,3.307889,28.00754,30.64684,1190
9.336164,96.70%,3.307895,28.00848,30.9042,1200
9.413966,96.67%,3.307893,28.00859,31.16156,1210
9.491768,96.65%,3.307916,28.009,31.41893,1220
9.569571,96.62%,3.307917,28.00872,31.67629,1230
9.647372,96.59%,3.307925,28.00888,31.93365,1240
9.725174,96.56%,3.30797,28.008,32.19102,1250
