Ah,SOC,V,A,Wh,time,tp,tn,tb,ta
0.000389,100.00%,3.36345,-140.0989,-0.001309,0,27.3,26.91,27.51,24.83
0.389089,99.86%,3.31817,-140.0767,-1.297604,10,27.31,26.94,27.47,24.78
0.778179,99.72%,3.298528,-140.0852,-2.5845,20,27.4,27.04,27.41,24.72
1.167271,99.59%,3.28668,-140.0668,-3.865443,30,27.56,27.15,27.45,24.84
1.556361,99.45%,3.279109,-140.0788,-5.142673,40,27.64,27.19,27.49,24.8
1.945454,99.31%,3.27433,-140.0749,-6.417543,50,27.54,27.27,27.39,24.93
2.334546,99.17%,3.271542,-140.0749,-7.690958,60,27.81,27.36,27.54,24.84
2.72364,99.03%,3.270049,-140.0813,-8.963565,70,27.75,27.48,27.46,24.84
3.112734,98.89%,3.269384,-140.0774,-10.23577,80,27.89,27.52,27.45,24.98
3.501827,98.76%,3.269161,-140.065,-11.50782,90,27.89,27.61,27.47,24.89
3.890921,98.62%,3.269098,-140.0873,-12.77981,100,27.97,27.68,27.53,24.89
4.280015,98.48%,3.269136,-140.0742,-14.0518,110,27.96,27.63,27.49,24.93
4.669109,98.34%,3.269209,-140.0774,-15.32382,120,27.96,27.74,27.38,24.92
5.058203,98.20%,3.269282,-140.0735,-16.59587,130,28,27.72,27.44,24.95
5.447299,98.06%,3.269381,-140.0802,-17.86796,140,28.06,27.7,27.48,24.92
5.836395,97.93%,3.269457,-140.0827,-19.14008,150,28.16,27.88,27.41,24.98
6.225491,97.79%,3.269518,-140.0698,-20.41222,160,28.13,27.93,27.48,24.93
6.614586,97.65%,3.269597,-140.0797,-21.68439,170,28.19,27.94,27.45,24.96
7.003681,97.51%,3.269632,-140.0733,-22.95658,180,28.21,27.85,27.46,24.95
7.392778,97.37%,3.269655,-140.0781,-24.22878,190,28.26,27.91,27.56,24.96
7.781876,97.23%,3.269655,-140.0735,-25.501,200,28.18,27.97,27.52,24.96
8.170972,97.10%,3.269706,-140.0783,-26.77322,210,28.27,27.99,27.51,24.95
8.560068,96.96%,3.269706,-140.0765,-28.04545,220,28.32,28.03,27.5,24.98
8.949165,96.82%,3.269715,-140.0685,-29.31769,230,28.28,28.07,27.53,25.01
9.338262,96.68%,3.269728,-140.0737,-30.58993,240,28.38,28.1,27.47,24.98
9.727358,96.54%,3.269722,-140.0772,-31.86216,250,28.4,28.14,27.57,25.01
10.11646,96.40%,3.269712,-140.0694,-33.1344,260,28.37,28.15,27.49,24.95
10.50555,96.27%,3.269677,-140.0827,-34.40664,270,28.43,28.25,27.59,25.02
10.89465,96.13%,3.269706,-140.0719,-35.67886,280,28.42,28.24,27.56,25.03
11.28375,95.99%,3.269693,-140.0753,-36.95108,290,28.48,28.21,27.6,25.05
11.67284,95.85%,3.269648,-140.0689,-38.22329,300,28.47,28.2,27.6,25.16
12.06194,95.71%,3.26962,-140.0636,-39.49549,310,28.53,28.28,27.57,25.09
12.45104,95.58%,3.269597,-140.0738,-40.76769,320,28.5,28.28,27.64,25.17
12.84013,95.44%,3.26955,-140.0806,-42.03988,330,28.53,28.3,27.54,25.05
13.22923,95.30%,3.269518,-140.0811,-43.31206,340,28.55,28.31,27.62,25.07
13.61833,95.16%,3.269505,-140.0809,-44.58422,350,28.57,28.38,27.54,25.07
14.00743,95.02%,3.26947,-140.0832,-45.85636,360,28.6,28.45,27.62,24.94
14.39652,94.88%,3.269422,-140.0726,-47.12849,370,28.6,28.31,27.52,24.94
14.78562,94.75%,3.269387,-140.0712,-48.40061,380,28.61,28.36,27.64,24.9
15.17472,94.61%,3.269349,-140.0868,-49.67272,390,28.63,28.36,27.56,25.03
15.56382,94.47%,3.269298,-140.0698,-50.94481,400,28.65,28.41,27.67,24.99
15.95291,94.33%,3.269254,-140.0662,-52.21688,410,28.64,28.44,27.58,25.06
16.34201,94.19%,3.269225,-140.0737,-53.48893,420,28.72,28.41,27.59,25.08
16.73111,94.05%,3.269193,-140.0685,-54.76097,430,28.68,28.49,27.58,24.99
17.1202,93.92%,3.269136,-140.0783,-56.03298,440,28.71,28.49,27.59,24.87
17.5093,93.78%,3.269104,-140.0806,-57.30498,450,28.75,28.44,27.65,24.95
17.89839,93.64%,3.269059,-140.0786,-58.57696,460,28.64,28.44,27.61,24.96
18.28749,93.50%,3.268999,-140.0648,-59.84892,470,28.74,28.42,27.63,24.95
18.67658,93.36%,3.268945,-140.063,-61.12086,480,28.78,28.44,27.51,24.92
19.06568,93.22%,3.268878,-140.0806,-62.39278,490,28.71,28.52,27.61,24.85
19.45477,93.09%,3.268815,-140.0827,-63.66467,500,28.78,28.5,27.55,24.93
19.84387,92.95%,3.26878,-140.0689,-64.93655,510,28.8,28.56,27.64,24.85
20.23296,92.81%,3.26869,-140.077,-66.2084,520,28.8,28.53,27.59,24.87
20.62206,92.67%,3.268636,-140.0659,-67.48022,530,28.84,28.51,27.57,24.9
21.01116,92.53%,3.268585,-140.0749,-68.75204,540,28.87,28.51,27.6,24.88
21.40026,92.39%,3.268518,-140.0641,-70.02383,550,28.84,28.55,27.56,24.85
21.78935,92.26%,3.268467,-140.0726,-71.2956,560,28.85,28.58,27.58,24.82
22.17845,92.12%,3.268391,-140.0724,-72.56734,570,28.82,28.6,27.55,24.85
22.56755,91.98%,3.26834,-140.0724,-73.83906,580,28.84,28.57,27.65,24.91
22.95665,91.84%,3.268286,-140.0744,-75.11075,590,28.82,28.55,27.55,24.96
23.34575,91.70%,3.268223,-140.0717,-76.38242,600,28.88,28.56,27.62,24.95
23.73485,91.56%,3.268143,-140.0772,-77.65407,610,28.91,28.63,27.63,24.96
24.12395,91.43%,3.26807,-140.077,-78.92569,620,28.82,28.57,27.62,25.01
24.51305,91.29%,3.267997,-140.0733,-80.19729,630,28.93,28.59,27.68,25.02
24.90215,91.15%,3.267974,-140.0728,-81.46886,640,28.9,28.64,27.6,24.97
25.29125,91.01%,3.267889,-140.0726,-82.74041,650,28.89,28.59,27.67,24.93
25.68035,90.87%,3.267815,-140.0694,-84.01192,660,28.87,28.69,27.62,24.88
26.06945,90.74%,3.267732,-140.0712,-85.28342,670,28.9,28.69,27.59,24.83
26.45855,90.60%,3.267666,-140.0815,-86.55488,680,28.92,28.63,27.59,24.9
26.84765,90.46%,3.267596,-140.0792,-87.82631,690,28.92,28.66,27.66,25.05
27.23675,90.32%,3.267541,-140.0786,-89.09772,700,28.93,28.68,27.7,25.05
27.62585,90.18%,3.267462,-140.0845,-90.36911,710,28.95,28.65,27.73,24.96
28.01495,90.04%,3.267392,-140.0811,-91.64046,720,29.09,28.7,27.7,24.94
28.40405,89.91%,3.267325,-140.0786,-92.91179,730,28.98,28.78,27.59,24.94
28.79315,89.77%,3.267255,-140.0845,-94.18309,740,28.95,28.77,27.65,25.01
29.18225,89.63%,3.267169,-140.0822,-95.45436,750,29.02,28.78,27.64,24.95
29.57135,89.49%,3.267102,-140.0705,-96.7256,760,28.97,28.74,27.67,24.95
29.96045,89.35%,3.267023,-140.0694,-97.9968,770,28.95,28.72,27.67,24.91
30.34955,89.21%,3.266969,-140.0659,-99.26798,780,29.04,28.74,27.65,25
30.73864,89.08%,3.266867,-140.0694,-100.5391,790,29.03,28.76,27.62,24.95
31.12774,88.94%,3.2668,-140.0733,-101.8102,800,29.05,28.67,27.72,24.91
31.51684,88.80%,3.266698,-140.0678,-103.0813,810,29.02,28.76,27.78,24.96
31.90594,88.66%,3.266638,-140.0694,-104.3524,820,28.95,28.69,27.67,24.96
32.29504,88.52%,3.266574,-140.082,-105.6234,830,29.11,28.75,27.67,24.97
32.68413,88.38%,3.266469,-140.0758,-106.8944,840,29.05,28.77,27.68,24.94
33.07323,88.25%,3.266367,-140.088,-108.1654,850,29,28.72,27.69,24.97
33.46234,88.11%,3.266288,-140.0831,-109.4363,860,29.04,28.71,27.65,24.92
33.85144,87.97%,3.266233,-140.08,-110.7072,870,29.02,28.74,27.69,24.95
34.24054,87.83%,3.266144,-140.0751,-111.9781,880,29.05,28.76,27.62,24.93
34.62964,87.69%,3.266046,-140.0777,-113.2489,890,29.06,28.77,27.67,24.96
35.01875,87.55%,3.265969,-140.0806,-114.5197,900,29.11,28.81,27.66,25.02
35.40785,87.42%,3.265877,-140.0825,-115.7905,910,29.1,28.85,27.7,25.03
35.79695,87.28%,3.265804,-140.0776,-117.0613,920,29.11,28.74,27.74,25.07
36.18605,87.14%,3.265699,-140.0696,-118.332,930,29.05,28.75,27.7,24.98
36.57516,87.00%,3.265597,-140.0689,-119.6027,940,29.07,28.8,27.77,25.01
36.96426,86.86%,3.265524,-140.0779,-120.8733,950,29.03,28.82,27.69,25.07
37.35336,86.73%,3.265438,-140.0788,-122.1439,960,29.07,28.83,27.71,25.08
37.74246,86.59%,3.265355,-140.0799,-123.4145,970,29.15,28.87,27.78,25.12
38.13157,86.45%,3.265263,-140.0682,-124.685,980,29.13,28.83,27.77,25.07
38.52067,86.31%,3.265167,-140.0813,-125.9555,990,29.09,28.91,27.8,25.12
38.90977,86.17%,3.265085,-140.0692,-127.226,1000,29.2,28.78,27.8,25.15
39.29887,86.03%,3.264992,-140.0673,-128.4964,1010,29.22,28.93,27.78,25.17
39.68798,85.90%,3.26489,-140.0863,-129.7668,1020,29.17,28.9,27.76,25.11
40.07708,85.76%,3.264817,-140.0829,-131.0372,1030,29.17,28.86,27.86,25.08
40.46618,85.62%,3.264738,-140.0845,-132.3075,1040,29.13,28.85,27.8,25.09
40.85528,85.48%,3.264642,-140.0767,-133.5778,1050,29.14,28.89,27.73,25.07
41.24438,85.34%,3.264528,-140.0836,-134.8481,1060,29.17,28.82,27.82,25.01
41.63348,85.20%,3.264423,-140.0694,-136.1183,1070,29.2,28.82,27.71,25.04
42.02259,85.07%,3.264356,-140.0721,-137.3885,1080,29.17,28.91,27.82,25.04
42.41169,84.93%,3.264279,-140.0738,-138.6586,1090,29.15,28.91,27.82,25.04
42.80079,84.79%,3.264165,-140.0859,-139.9287,1100,29.1,28.83,27.79,24.97
43.18989,84.65%,3.264082,-140.0696,-141.1988,1110,29.16,28.94,27.77,25.02
43.57899,84.51%,3.263974,-140.073,-142.4688,1120,29.19,28.9,27.77,25.05
43.96809,84.37%,3.263891,-140.0632,-143.7388,1130,29.19,28.92,27.7,25.14
44.35719,84.24%,3.263773,-140.0646,-145.0088,1140,29.17,28.9,27.78,25.06
44.74628,84.10%,3.263678,-140.0779,-146.2787,1150,29.22,28.81,27.79,25.09
45.13538,83.96%,3.263579,-140.0838,-147.5486,1160,29.27,28.92,27.84,25
45.52448,83.82%,3.263497,-140.0733,-148.8184,1170,29.25,28.97,27.81,24.95
45.91358,83.68%,3.263404,-140.0648,-150.0882,1180,29.18,28.88,27.8,24.98
46.30268,83.54%,3.26329,-140.0673,-151.358,1190,29.2,28.88,27.82,24.87
46.69178,83.41%,3.263181,-140.0673,-152.6277,1200,29.15,28.85,27.75,24.86
47.08088,83.27%,3.263057,-140.0648,-153.8973,1210,29.19,28.82,27.8,24.95
47.46997,83.13%,3.262946,-140.0868,-155.167,1220,29.19,28.86,27.76,24.92
47.85907,82.99%,3.262844,-140.0827,-156.4366,1230,29.2,28.93,27.82,24.94
48.24817,82.85%,3.262752,-140.0717,-157.7061,1240,29.12,28.88,27.77,24.97
48.63726,82.71%,3.262647,-140.0618,-158.9756,1250,29.2,28.86,27.76,25.02
49.02636,82.58%,3.262513,-140.0731,-160.2451,1260,29.15,28.94,27.82,25.02
49.41545,82.44%,3.262418,-140.0749,-161.5145,1270,29.23,28.83,27.76,25.04
49.80455,82.30%,3.262303,-140.082,-162.7838,1280,29.22,28.91,27.79,25.05
50.19365,82.16%,3.262198,-140.0818,-164.0532,1290,29.24,28.98,27.77,25.08
50.58274,82.02%,3.26209,-140.0655,-165.3224,1300,29.24,28.94,27.87,25.03
50.97184,81.89%,3.261972,-140.0818,-166.5917,1310,29.25,29.04,27.83,25.02
51.36093,81.75%,3.261832,-140.0813,-167.8609,1320,29.25,28.97,27.79,25.06
51.75002,81.61%,3.26174,-140.0648,-169.13,1330,29.32,28.98,27.74,25
52.13912,81.47%,3.261648,-140.0687,-170.3991,1340,29.19,29.01,27.92,25.06
52.52821,81.33%,3.261527,-140.0845,-171.6682,1350,29.27,29.03,27.87,24.97
52.91731,81.19%,3.2614,-140.074,-172.9372,1360,29.2,29.01,27.85,24.94
53.3064,81.06%,3.261282,-140.0664,-174.2062,1370,29.25,29.05,27.83,24.97
53.6955,80.92%,3.261164,-140.0795,-175.4751,1380,29.24,28.93,27.83,24.95
54.08459,80.78%,3.261053,-140.0733,-176.744,1390,29.31,28.89,27.85,24.94
54.47369,80.64%,3.260922,-140.068,-178.0128,1400,29.28,28.89,27.82,25.04
54.86278,80.50%,3.260808,-140.0756,-179.2816,1410,29.32,28.97,27.78,25
55.25187,80.36%,3.260677,-140.0607,-180.5503,1420,29.32,28.94,27.88,25.1
55.64097,80.23%,3.26055,-140.0753,-181.819,1430,29.3,28.94,27.85,25.05
56.03006,80.09%,3.260432,-140.0813,-183.0877,1440,29.27,29.06,27.87,25.01
56.41916,79.95%,3.260292,-140.0762,-184.3562,1450,29.34,28.99,27.82,25.01
56.80825,79.81%,3.260133,-140.0703,-185.6248,1460,29.29,28.97,27.83,25.08
57.19735,79.67%,3.260021,-140.0731,-186.8933,1470,29.31,29,27.88,24.97
57.58644,79.53%,3.259897,-140.0728,-188.1617,1480,29.37,28.92,27.83,25.02
57.97554,79.40%,3.259764,-140.0705,-189.4301,1490,29.29,28.97,27.93,24.99
58.36464,79.26%,3.259643,-140.0813,-190.6984,1500,29.35,28.9,27.94,25.1
